subset,signal,pearson_r,pearson_p,spearman_r,spearman_p,auc,n
all,local_prec,0.2045,0.0,0.2055,0.0,0.6273,189589
all,global_prec,0.577,0.0,0.5523,0.0,0.8419,189589
all,signal_c,0.0073,0.0015,0.0039,0.0899,0.5024,189589
all,expert_weight,0.2544,0.0,0.2609,0.0,0.6631,189589
vote=+1,local_prec,0.2724,0.0,0.2639,0.0,0.7029,141193
vote=+1,global_prec,0.3681,0.0,0.3431,0.0,0.7636,141193
vote=+1,signal_c,-0.0604,0.0,-0.0653,0.0,0.4494,141193
vote=+1,expert_weight,0.2843,0.0,0.2796,0.0,0.7165,141193
vote=-1,local_prec,-0.1986,0.0,-0.1888,0.0,0.3809,48396
vote=-1,global_prec,0.4131,0.0,0.3987,0.0,0.7515,48396
vote=-1,signal_c,0.1036,0.0,0.1083,0.0,0.5696,48396
vote=-1,expert_weight,-0.2028,0.0,-0.1826,0.0,0.3829,48396
