signal,quantile,n,concordance,conc_vote+1,conc_vote-1,sig_mean
local_prec,1,95108,0.5943,0.7156,0.3465,0.0721
local_prec,2,47106,0.7523,0.9091,0.2008,0.3664
local_prec,3,47375,0.8295,0.9498,0.099,0.5118
local_prec,4,0,,,,
global_prec,1,86627,0.457,0.6818,0.2231,0.3986
global_prec,2,8555,0.6276,0.6514,0.5555,0.5709
global_prec,3,47474,0.869,0.8779,0.7626,0.795
global_prec,4,46933,0.9597,0.9597,0.9542,0.9467
signal_c,1,47398,0.6897,0.8711,0.2086,0.0803
signal_c,2,47397,0.6953,0.8414,0.2744,0.1802
signal_c,3,47397,0.691,0.8155,0.316,0.2508
signal_c,4,47397,0.6934,0.807,0.3339,0.3465
expert_weight,1,47398,0.5725,0.7091,0.3522,0.0292
expert_weight,2,47397,0.5966,0.713,0.3353,0.1735
expert_weight,3,47425,0.7119,0.8976,0.1692,0.3766
expert_weight,4,47369,0.8884,0.9547,0.0741,0.4927
