family,split,metric,method_a,method_b,estimate_a,estimate_b,delta,ci_lower,ci_upper,p_value,n_items,iterations,p_holm,significant_holm_0_05
top_methods,full,macro_f1,SEF,SubAdj,0.7230221270988777,0.6407517521277868,0.08227037497109091,0.07157553804351753,0.09303998379826307,0.00019998000199980003,11082,10000,0.000999900009999,True
top_methods,full,f1_neg,SEF,SubAdj,0.5806092124814265,0.4864779376878064,0.0941312747936201,0.07812744308726331,0.11006013870416954,0.00019998000199980003,11082,10000,0.000999900009999,True
against_cn,full,macro_f1,SEF,CN,0.7230221270988777,0.5835183514882398,0.13950377561063787,0.12760449018352443,0.1515982136968675,0.00019998000199980003,11082,10000,0.0013998600139986002,True
against_cn,full,f1_neg,SEF,CN,0.5806092124814265,0.3591549295774648,0.22145428290396169,0.2024659135262937,0.24075078731004165,0.00019998000199980003,11082,10000,0.0013998600139986002,True
against_cn,full,macro_f1,SubAdj,CN,0.6407517521277868,0.5835183514882398,0.05723340063954696,0.048438143443044056,0.06628713426401817,0.00019998000199980003,11082,10000,0.0013998600139986002,True
against_cn,full,f1_neg,SubAdj,CN,0.4864779376878064,0.3591549295774648,0.12732300811034158,0.11358835903883613,0.14143518910167344,0.00019998000199980003,11082,10000,0.0013998600139986002,True
top_methods,intersection,macro_f1,SEF,SubAdj,0.7435337621211227,0.6498259153833633,0.09370784673775934,0.040394875128315945,0.1469121917159026,0.00039996000399960006,767,10000,0.0015998400159984002,True
top_methods,intersection,f1_neg,SEF,SubAdj,0.5502645502645502,0.3850267379679144,0.1652378122966358,0.07166641152254963,0.2597405185488087,0.00039996000399960006,767,10000,0.0015998400159984002,True
against_cn,intersection,macro_f1,SEF,CN,0.7435337621211227,0.5423310159166285,0.2012027462044942,0.14629871389810095,0.25643013205962933,0.00019998000199980003,767,10000,0.0013998600139986002,True
against_cn,intersection,f1_neg,SEF,CN,0.5502645502645502,0.17834394904458598,0.3719206012199643,0.27260489057233517,0.471507241440149,0.00019998000199980003,767,10000,0.0013998600139986002,True
against_cn,intersection,macro_f1,SubAdj,CN,0.6498259153833633,0.5423310159166285,0.10749489946673485,0.057041908021355496,0.15853881235351308,0.00019998000199980003,767,10000,0.0013998600139986002,True
against_cn,intersection,f1_neg,SubAdj,CN,0.3850267379679144,0.17834394904458598,0.20668278892332845,0.11642418373198263,0.2986046411318149,0.00019998000199980003,767,10000,0.0013998600139986002,True
top_methods,intersection_chronological,macro_f1,BoC,VirtualEnsembles,0.6742141278029267,0.641345525041888,0.032868602761038646,-0.011776917738599972,0.07852654013408303,0.15658434156584342,766,10000,0.43015698430156984,False
top_methods,intersection_chronological,f1_neg,BoC,VirtualEnsembles,0.4228571428571429,0.37305699481865284,0.04980014803849003,-0.02853691595044722,0.13017537087064596,0.21457854214578542,766,10000,0.42915708429157085,False
top_methods,intersection_chronological,macro_f1,BoC,SubAdj,0.6742141278029267,0.6739737320995888,0.00024039570333789229,-0.04966091749307071,0.05010423712022884,0.9979002099790021,766,10000,0.9979002099790021,False
top_methods,intersection_chronological,f1_neg,BoC,SubAdj,0.4228571428571429,0.44541484716157204,-0.02255770430442916,-0.10977991062310721,0.06279986952210707,0.6035396460353964,766,10000,0.6035396460353964,False
top_methods,intersection_chronological,macro_f1,VirtualEnsembles,SubAdj,0.641345525041888,0.6739737320995888,-0.03262820705770075,-0.07971648980905456,0.011287992405144177,0.14338566143385661,766,10000,0.43015698430156984,False
top_methods,intersection_chronological,f1_neg,VirtualEnsembles,SubAdj,0.37305699481865284,0.44541484716157204,-0.0723578523429192,-0.1526670130425071,0.0025627224672091753,0.0585941405859414,766,10000,0.17578242175782421,False
against_cn,intersection_chronological,macro_f1,BoC,CN,0.6742141278029267,0.4652517159791037,0.20896241182382297,0.1521736702550147,0.26532058907051953,0.00019998000199980003,766,10000,0.0013998600139986002,True
against_cn,intersection_chronological,f1_neg,BoC,CN,0.4228571428571429,0.03870967741935484,0.38414746543778805,0.2796754403324757,0.4846675481417922,0.00019998000199980003,766,10000,0.0013998600139986002,True
against_cn,intersection_chronological,macro_f1,VirtualEnsembles,CN,0.641345525041888,0.4652517159791037,0.17609380906278432,0.11992695059219921,0.22956853648143818,0.00019998000199980003,766,10000,0.0013998600139986002,True
against_cn,intersection_chronological,f1_neg,VirtualEnsembles,CN,0.37305699481865284,0.03870967741935484,0.334347317399298,0.23246122843935343,0.4303268050467607,0.00019998000199980003,766,10000,0.0013998600139986002,True
against_cn,intersection_chronological,macro_f1,SubAdj,CN,0.6739737320995888,0.4652517159791037,0.20872201612048508,0.1624587216462835,0.25413736751742866,0.00019998000199980003,766,10000,0.0013998600139986002,True
against_cn,intersection_chronological,f1_neg,SubAdj,CN,0.44541484716157204,0.03870967741935484,0.4067051697422172,0.32507720270659374,0.48534691869322943,0.00019998000199980003,766,10000,0.0013998600139986002,True
