min_tenure_days,min_karma,n_users_kept,pct_users_kept,n_votes_kept,n_items_scored,coverage,macro_f1,f1_neg,roc_auc
0,0,14925,100.0,189630,62741,0.8493,0.7247,0.5645,0.7229
0,10,14914,99.9,189596,62733,0.8492,0.7247,0.5645,0.723
0,100,14865,99.6,189372,62674,0.8484,0.7245,0.564,0.7227
0,500,14665,98.3,188271,62439,0.8452,0.7242,0.5635,0.7226
0,1000,14410,96.5,187013,62265,0.8429,0.7235,0.5622,0.7224
30,0,14921,100.0,189618,62739,0.8493,0.7247,0.5645,0.723
30,10,14914,99.9,189596,62733,0.8492,0.7247,0.5645,0.723
30,100,14865,99.6,189372,62674,0.8484,0.7245,0.564,0.7227
30,500,14665,98.3,188271,62439,0.8452,0.7242,0.5635,0.7226
30,1000,14410,96.5,187013,62265,0.8429,0.7235,0.5622,0.7224
90,0,14921,100.0,189618,62739,0.8493,0.7247,0.5645,0.723
90,10,14914,99.9,189596,62733,0.8492,0.7247,0.5645,0.723
90,100,14865,99.6,189372,62674,0.8484,0.7245,0.564,0.7227
90,500,14665,98.3,188271,62439,0.8452,0.7242,0.5635,0.7226
90,1000,14410,96.5,187013,62265,0.8429,0.7235,0.5622,0.7224
180,0,14921,100.0,189618,62739,0.8493,0.7247,0.5645,0.723
180,10,14914,99.9,189596,62733,0.8492,0.7247,0.5645,0.723
180,100,14865,99.6,189372,62674,0.8484,0.7245,0.564,0.7227
180,500,14665,98.3,188271,62439,0.8452,0.7242,0.5635,0.7226
180,1000,14410,96.5,187013,62265,0.8429,0.7235,0.5622,0.7224
365,0,14921,100.0,189618,62739,0.8493,0.7247,0.5645,0.723
365,10,14914,99.9,189596,62733,0.8492,0.7247,0.5645,0.723
365,100,14865,99.6,189372,62674,0.8484,0.7245,0.564,0.7227
365,500,14665,98.3,188271,62439,0.8452,0.7242,0.5635,0.7226
365,1000,14410,96.5,187013,62265,0.8429,0.7235,0.5622,0.7224
