signal,vote_dir,quantile,n,concordance
local_prec,1,1,63834,0.7156
local_prec,1,2,36679,0.9091
local_prec,1,3,40680,0.9498
local_prec,-1,1,31274,0.3465
local_prec,-1,2,10427,0.2008
local_prec,-1,3,6695,0.099
global_prec,1,1,44175,0.6818
global_prec,1,2,6429,0.6514
global_prec,1,3,43809,0.8779
global_prec,1,4,46780,0.9597
global_prec,-1,1,42452,0.2231
global_prec,-1,2,2126,0.5555
global_prec,-1,3,3665,0.7626
global_prec,-1,4,153,0.9542
signal_c,1,1,34420,0.8711
signal_c,1,2,35183,0.8414
signal_c,1,3,35576,0.8155
signal_c,1,4,36014,0.807
signal_c,-1,1,12978,0.2086
signal_c,-1,2,12214,0.2744
signal_c,-1,3,11821,0.316
signal_c,-1,4,11383,0.3339
expert_weight,1,1,29256,0.7091
expert_weight,1,2,32794,0.713
expert_weight,1,3,35337,0.8976
expert_weight,1,4,43806,0.9547
expert_weight,-1,1,18142,0.3522
expert_weight,-1,2,14603,0.3353
expert_weight,-1,3,12088,0.1692
expert_weight,-1,4,3563,0.0741
